Product ID,Product Name,Department,Title,Review Text,Reviewer Name,Original Platform,Stars Given,Review Date,Scrape Date
892658852,"Back to Nightstand with Charging Station, Night Stand End Table with Hutch and Storage Drawers, White",Home,Over proced but nice,"These are VERY overpriced but at least they're decent quality. 
Very easy to put together... glad they're not fabric drawers though.  I'm buying more for my daughters' room.",Krissi,Walmart,4 out of 5 stars review,1/31/2024,15/03/2024
892658852,"Back to Nightstand with Charging Station, Night Stand End Table with Hutch and Storage Drawers, White",Home,No Title,"I love the style of it , it's just smaller than I thought it would be",Karen,Walmart,4 out of 5 stars review,2/23/2024,15/03/2024
892658852,"Back to Nightstand with Charging Station, Night Stand End Table with Hutch and Storage Drawers, White",Home,No Title,"Easy set up, but wish the paint was a little stronger.",Donovan,Walmart,4 out of 5 stars review,12/09/2023,15/03/2024
892658852,"Back to Nightstand with Charging Station, Night Stand End Table with Hutch and Storage Drawers, White",Home,looks ok,The item in the image looks bigger than in reality. I got a fun size.,Yashiria,Walmart,4 out of 5 stars review,01/08/2024,15/03/2024
892658852,"Back to Nightstand with Charging Station, Night Stand End Table with Hutch and Storage Drawers, White",Home,No Title,it was smaller than we thought,Athena,Walmart,4 out of 5 stars review,01/05/2024,15/03/2024
892658852,"Back to Nightstand with Charging Station, Night Stand End Table with Hutch and Storage Drawers, White",Home,Night stand,It's very nice but way to small. No where near the size of a normal night stand,Jenifer,Walmart,4 out of 5 stars review,9/23/2023,15/03/2024
892658852,"Back to Nightstand with Charging Station, Night Stand End Table with Hutch and Storage Drawers, White",Home,Love it,I love this night stand.   Very easy to assemble.,Melissa,Walmart,4 out of 5 stars review,08/01/2023,15/03/2024
892658852,"Back to Nightstand with Charging Station, Night Stand End Table with Hutch and Storage Drawers, White",Home,Good,Easy to put together but drawers don't line up,Stephanie,Walmart,4 out of 5 stars review,10/22/2023,15/03/2024
892658852,"Back to Nightstand with Charging Station, Night Stand End Table with Hutch and Storage Drawers, White",Home,Not bad,"Not that hard to put together, nice height, I really like it",OpieG,Walmart,4 out of 5 stars review,10/04/2023,15/03/2024
892658852,"Back to Nightstand with Charging Station, Night Stand End Table with Hutch and Storage Drawers, White",Home,Not exactly what i was thinking,Make sure to read the dimensions.  It was smaller than i was expecting.  Solid once built and would be great for smaller spaces.,Todd,Walmart,4 out of 5 stars review,06/07/2023,15/03/2024
892658852,"Back to Nightstand with Charging Station, Night Stand End Table with Hutch and Storage Drawers, White",Home,Really nice looking special.,"For the price, this is well worth it. Externally it looks outstanding. Nothing fancy, very sleek looking!",Anna,afuhokles.com,4 out of 5 stars review,08/11/2023,15/03/2024
892658852,"Back to Nightstand with Charging Station, Night Stand End Table with Hutch and Storage Drawers, White",Home,This nightstand was easy to assemble,"The pictures are easy to understand. Love the drawers. I think I can fit everything I need in those three drawers. Really like the charging station, definitely a plus.",Pam,afuhokles.com,4 out of 5 stars review,5/22/2023,15/03/2024
892658852,"Back to Nightstand with Charging Station, Night Stand End Table with Hutch and Storage Drawers, White",Home,nightstand,"I love them. Smaller than expected, but that's okay because they look beautiful.",lacie,afuhokles.com,4 out of 5 stars review,11/18/2023,15/03/2024
892658852,"Back to Nightstand with Charging Station, Night Stand End Table with Hutch and Storage Drawers, White",Home,Lil nightstand,This nightstand is very solid and I'm very happy with it. It took me about 1.5 hours to put together by myself and the height is perfect.,Sam L,afuhokles.com,4 out of 5 stars review,5/14/2023,15/03/2024
892658852,"Back to Nightstand with Charging Station, Night Stand End Table with Hutch and Storage Drawers, White",Home,This bedside table is perfect!,It makes my bedroom look neater and more stylish.,chenika fortune,afuhokles.com,4 out of 5 stars review,6/25/2023,15/03/2024
892658852,"Back to Nightstand with Charging Station, Night Stand End Table with Hutch and Storage Drawers, White",Home,Shorter than anticipated but made well & easy assembly,"The surface of the bedside table is very wear-resistant and easy to clean, saving me a lot of time for upkeep.",S Perakovic,afuhokles.com,4 out of 5 stars review,12/31/2022,15/03/2024
892658852,"Back to Nightstand with Charging Station, Night Stand End Table with Hutch and Storage Drawers, White",Home,very suitable for home use,"This bedside table is made of very environmentally friendly materials, with no pungent smell, making it very suitable for home use.",A. Annette Hankins,afuhokles.com,4 out of 5 stars review,1/21/2023,15/03/2024
892658852,"Back to Nightstand with Charging Station, Night Stand End Table with Hutch and Storage Drawers, White",Home,Very nice nightstand,The nightstand takes time to assemble but very happy with the product. Very nice looking.,TJM,afuhokles.com,4 out of 5 stars review,10/17/2022,15/03/2024
892658852,"Back to Nightstand with Charging Station, Night Stand End Table with Hutch and Storage Drawers, White",Home,Maneuverable nightstands,"This bedside table is very maneuverable, and I can easily adjust its position when needed.",casey,afuhokles.com,4 out of 5 stars review,7/18/2022,15/03/2024
892658852,"Back to Nightstand with Charging Station, Night Stand End Table with Hutch and Storage Drawers, White",Home,Mistake!!,It is a beautiful piece but the Reset and Off button are backwards.,Patricia,Walmart,5 out of 5 stars review,No Date,15/03/2024
892658852,"Back to Nightstand with Charging Station, Night Stand End Table with Hutch and Storage Drawers, White",Home,Not what I expected,"Beautiful design and looked like what I wanted. Unfortunately, I did not pay attention to dimensions instead I looked at the picture and saw a nightstand almost as tall as the headboard in the picture and this was tiny.  This looks like it belongs in a toddlers room, the picture did not say not actual size.  This is not  for an adult room. I would not have paid $90 for something this tiny.  Also, I was worried about damage because the box it came in was smashed and sliced in different places.",Julie,Walmart,2 out of 5 stars review,No Date,15/03/2024
892658852,"Back to Nightstand with Charging Station, Night Stand End Table with Hutch and Storage Drawers, White",Home,Practical and powerful nightstand,This bedside table is very practical and powerful.,cynthia napier,afuhokles.com,4 out of 5 stars review,8/13/2022,15/03/2024
